PARROQUIA,MUNICIPIO,ESTADO
Ospino,Ospino,Portuguesa
Sucre,Sucre,Portuguesa
Turn,Turn,Portuguesa
Villa Rosa,Sucre,Portuguesa
El Chaparro,Sir Arthur Mc Gregor,Anzotegui
Matrz,Trujillo,Trujillo
Antonio Nicols Briceo,San Rafael de Carvajal,Trujillo
Rafael Rangel,Bocon,Trujillo
Santa Mara del Horcn,Monte Carmelo,Trujillo
La Unin,Escuque,Trujillo
Sabana Libre,Escuque,Trujillo
San Rafael de Palo Alzao,Sucre,Portuguesa
Ayacucho,Bocon,Trujillo
Chiquinquir,Trujillo,Trujillo
Los Cedros,Rafael Rangel,Trujillo
San Luis,Valera,Trujillo
Carvajal,San Rafael de Carvajal,Trujillo
Gibraltar,Sucre,Zulia
Sosa,Julin Mellado,Gurico
Campo Alegre,San Rafael de Carvajal,Trujillo
Monseor Carrillo,Trujillo,Trujillo
Pueblo Nuevo,Santa Ana,Anzotegui
Santa Rita,Escuque,Trujillo
Andrs Linares,Trujillo,Trujillo
Mercedes Daz,Valera,Trujillo
Buena Vista,Monte Carmelo,Trujillo
Juan Ignacio Montilla,Valera,Trujillo
Mosquey,Bocon,Trujillo
Bocon,Bocon,Trujillo
Monseor Argimiro Garca,Tucupita,Delta Amacuro
Escuque,Escuque,Trujillo
Rmulo Gallegos,Sucre,Zulia
El Carmen,Bocon,Trujillo
Beatriz,Valera,Trujillo
Concepcin,Sucre,Portuguesa
Temblador,Libertador,Monagas
La Vega de Guaramacal,Bocon,Trujillo
Santiago,Urdaneta,Trujillo
Padre Barral,Antonio Daz,Delta Amacuro
Mendoza,Valera,Trujillo
San Isidro Labrador,Turn,Portuguesa
Uvencio Antonio Velsquez,Sucre,Portuguesa
Monte Carmelo,Monte Carmelo,Trujillo
El Calvario,Francisco de Miranda,Gurico
Bobures,Sucre,Zulia
San Carlos del Zulia,Coln,Zulia
La Quebrada,Urdaneta,Trujillo
San Juan de Guanagua,Guanare,Portuguesa
Guardatinajas,Francisco de Miranda,Gurico
Guaramacal,Bocon,Trujillo
Cabimb,Urdaneta,Trujillo
Santa Rosala,Santa Rosala,Portuguesa
San Jos,Bocon,Trujillo
El Rastro,Francisco de Miranda,Gurico
El Batey,Sucre,Zulia
Las Mercedes,Las Mercedes,Gurico
Sucre,Girardot,Cojedes
Uveral,Esteller,Portuguesa
Calabozo,Francisco de Miranda,Gurico
Santa Brbara,Coln,Zulia
Independencia,Tulio Febres Cordero,Mrida
Cachipo,Aragua,Anzotegui
Uracoa,Uracoa,Monagas
Palmira,Julio Csar Salas,Mrida
Jaj,Urdaneta,Trujillo
San Genaro de Boconoito,San Genaro de Boconoito,Portuguesa
La Puerta,Valera,Trujillo
Monseor Juregui,Bocon,Trujillo
Heras,Sucre,Zulia
Jess Mara Semprm,Jess Mara Semprm,Zulia
San Jos,Tucupita,Delta Amacuro
El Socorro,El Socorro,Gurico
Tulio Febres Cordero,Tulio Febres Cordero,Mrida
Santos de Abelgas,Antonio Daz,Delta Amacuro
Mara de la Concepcin Palacios Blanco,Tulio Febres Cordero,Mrida
San Cristbal de Torondoy,Justo Briceo,Mrida
Heras,Sucre,Zulia
General Rivas,Bocon,Trujillo
Justo Briceo,Justo Briceo,Mrida
Mariscal Antonio Jos de Sucre,Tucupita,Delta Amacuro
Santa Mara de Ipire,Santa Mara de Ipire,Gurico
La Mesa,Urdaneta,Trujillo
Uribarri,Coln,Zulia
Piango,Miranda,Mrida
Tuame,Urdaneta,Trujillo
Florida,Santa Rosala,Portuguesa
Miranda,Miranda,Mrida
Simn Rodrguez,Francisco Javier Pulgar,Zulia
El Bal,Girardot,Cojedes
Rodrguez Domnguez,Alberto Arvelo Torrealba,Barinas
Masparrito,Cruz Paredes,Barinas
Papeln,Papeln,Portuguesa
Santa Polonia,Tulio Febres Cordero,Mrida
Calderas,Bolvar,Barinas
Pueblo Llano,Pueblo Llano,Mrida
Las Piedras,Cardenal Quintero,Mrida
Virgen de la Coromoto,Guanare,Portuguesa
Santa Cruz del Zulia,Coln,Zulia
Soledad,Independencia,Anzotegui
Simn Rodrguez,Simn Rodrguez,Anzotegui
Pariagun,Francisco de Miranda,Anzotegui
El Pao de Barcelona,Francisco de Miranda,Anzotegui
Espino,Leonardo Infante,Gurico
Andrs Eloy BLanco,Miranda,Mrida
Curiapo,Antonio Daz,Delta Amacuro
San Jos de Guanipa,San Jos de Guanipa,Anzotegui
Caracciolo Parra Olmedo,Caracciolo Parra Olmedo,Mrida
San Rafael de Alczar,Obispo Ramos de Lora,Mrida
Carlos Quevedo,Francisco Javier Pulgar,Zulia
La Venta,Miranda,Mrida
Florencia Ramrez,Caracciolo Parra Olmedo,Mrida
El Socorro,Cruz Paredes,Barinas
Cao Delgadito,Papeln,Portuguesa
Moralito,Coln,Zulia
Barrancas,Cruz Paredes,Barinas
Altamira,Bolvar,Barinas
Cardenal Quintero,Cardenal Quintero,Mrida
Obispo Ramos de Lora,Obispo Ramos de Lora,Mrida
Antoln Tovar,San Genaro de Boconoito,Portuguesa
Sotillo,Sotillo,Monagas
San Rafael,Rangel,Mrida
Chaguaramas,Libertador,Monagas
La Toma,Rangel,Mrida
Atapirire,Francisco de Miranda,Anzotegui
Barinitas,Bolvar,Barinas
Rangel,Rangel,Mrida
Eloy Paredes,Obispo Ramos de Lora,Mrida
Udn Prez,Catatumbo,Zulia
Sabaneta,Alberto Arvelo Torrealba,Barinas
Mamo,Independencia,Anzotegui
Francisco Javier Pulgar,Francisco Javier Pulgar,Zulia
Gonzalo Picn Febres,Libertador,Mrida
Los Barrancos de Fajardo,Sotillo,Monagas
Andrs Bello,Andrs Bello,Mrida
Mucuruba,Rangel,Mrida
Trinidad de la Capilla,Guanarito,Portuguesa
Altamira,Santa Mara de Ipire,Gurico
Rmulo Gallegos,Casacoima,Delta Amacuro
San Diego de Cabrutica,Jos Gregorio Monagas,Anzotegui
Hctor Amable Mora,Alberto Adriani,Mrida
Jos Flix Ribas,Pedraza,Barinas
Guasimitos,Obispos,Barinas
Cacute,Rangel,Mrida
Francisco Aniceto Lugo,Antonio Daz,Delta Amacuro
Manuel Palacios Fajardo,Barinas,Barinas
Santos Marquina,Santos Marquina,Mrida
Milla,Libertador,Mrida
Alfredo Arvelo Larriva,Barinas,Barinas
Jos Nuceti Sardi,Alberto Adriani,Mrida
Palacio Fajardo,Rojas,Barinas
Divina Pastora,Guanarito,Portuguesa
Obispos,Obispos,Barinas
Guanarito,Guanarito,Portuguesa
Montalbn,Campo Elas,Mrida
Presidente Betancourt,Alberto Adriani,Mrida
Santa Rita de Manapire,Las Mercedes,Gurico
El Regalo,Sosa,Barinas
Lasso de La Vega,Libertador,Mrida
Jaj,Campo Elas,Mrida
Almirante Luis Brin,Antonio Daz,Delta Amacuro
Presidente Pez,Alberto Adriani,Mrida
Juan Bautista Arismendi,Casacoima,Delta Amacuro
Rmulo Betancourt,Barinas,Barinas
Alto Barinas,Barinas,Barinas
Pulido Mndez,Alberto Adriani,Mrida
Samuel Daro Maldonado,Samuel Daro Maldonado,Tchira
Santa Clara,Jos Gregorio Monagas,Anzotegui
Ciudad de Nutrias,Sosa,Barinas
Barinas,Barinas,Barinas
La Trampa,Sucre,Mrida
Chiguar,Sucre,Mrida
Dominga Ortz de Pez,Barinas,Barinas
El Carmen,Barinas,Barinas
Antonio Espinetti Dini,Libertador,Mrida
Mariano Picn Salas,Libertador,Mrida
Corazn de Jess,Barinas,Barinas
Ciudad Bolivia,Pedraza,Barinas
Osuna Rodrguez,Libertador,Mrida
Ramn Ignacio Mndez,Barinas,Barinas
Matrz,Campo Elas,Mrida
Arias,Libertador,Mrida
Rmulo Gallegos,Alberto Adriani,Mrida
La Mesa,Campo Elas,Mrida
Arismendi,Arismendi,Barinas
Santa Rosa,Rojas,Barinas
Juan Antonio Rodrguez Domnguez,Barinas,Barinas
Sagrario,Libertador,Mrida
Caracciolo Parra Prez,Libertador,Mrida
Manuel Piar,Casacoima,Delta Amacuro
Guadarrama,Arismendi,Barinas
El Llano,Libertador,Mrida
Gabriel Picn Gonzlez,Alberto Adriani,Mrida
Bocon,Samuel Daro Maldonado,Tchira
Andrs Bello,Antonio Jos de Sucre,Barinas
Jacinto Plaza,Libertador,Mrida
Domingo Pea,Libertador,Mrida
Juan Rodrguez Surez,Libertador,Mrida
Sucre,Sucre,Mrida
Cinco de Julio,Casacoima,Delta Amacuro
San Juan,Sucre,Mrida
Antonio Pinto Salinas,Antonio Pinto Salinas,Mrida
Los Nevados,Libertador,Mrida
Torunos,Barinas,Barinas
Cao El Tigre,Zea,Mrida
Fernndez Pea,Campo Elas,Mrida
El Morro,Libertador,Mrida
Imataca,Casacoima,Delta Amacuro
Mesa Bolvar,Antonio Pinto Salinas,Mrida
La Palmita,Panamericano,Tchira
Jos Antonio Pez,Garca de Hevia,Tchira
Padre Pedro Chien,Padre Pedro Chien,Bolvar
Zea,Zea,Mrida
Once de Abril,Caron,Bolvar
La Luz,Obispos,Barinas
El Real,Obispos,Barinas
Acequias,Campo Elas,Mrida
Estanquez,Sucre,Mrida
Pueblo Nuevo del Sur,Sucre,Mrida
Zuata,Jos Gregorio Monagas,Anzotegui
Dolores,Rojas,Barinas
Libertad,Rojas,Barinas
San Jos,Campo Elas,Mrida
Simn Bolvar,Caron,Bolvar
San Gernimo de Guayabal,San Gernimo de Guayabal,Gurico
Vista al Sol,Caron,Bolvar
Mesa de las Palmas,Antonio Pinto Salinas,Mrida
Yocoima,Caron,Bolvar
Piar,Piar,Bolvar
Boca de Grita,Garca de Hevia,Tchira
Tovar,Tovar,Mrida
Camagun,Camagun,Gurico
Panamericano,Panamericano,Tchira
Hernndez,Samuel Daro Maldonado,Tchira
San Silvestre,Barinas,Barinas
Ticoporo,Antonio Jos de Sucre,Barinas
Chirica,Caron,Bolvar
Emilio Constantino Guerrero,Juregui,Tchira
Aricagua,Aricagua,Mrida
Dalla Costa,Caron,Bolvar
Cachamay,Caron,Bolvar
Unare,Caron,Bolvar
Panapana,Heres,Bolvar
Simn Rodrguez,Simn Rodrguez,Tchira
El Amparo,Tovar,Mrida
Mucutuy,Arzobispo Chacn,Mrida
Santa Ins,Barinas,Barinas
San Judas Tadeo,San Judas Tadeo,Tchira
Garca de Hevia,Garca de Hevia,Tchira
La Unin,Arismendi,Barinas
Universidad,Caron,Bolvar
El Llano,Tovar,Mrida
Pozo Verde,Caron,Bolvar
Rivas Dvila,Rivas Dvila,Mrida
Gernimo Maldonado,Rivas Dvila,Mrida
Rivas Berti,Ayacucho,Tchira
Cazorla,San Gernimo de Guayabal,Gurico
San Francisco,Tovar,Mrida
Chacanta,Arzobispo Chacn,Mrida
Ro Negro,Guaraque,Mrida
Boca del Pao,Francisco de Miranda,Anzotegui
San Antonio,Arismendi,Barinas
El Molino,Arzobispo Chacn,Mrida
Guaraque,Guaraque,Mrida
Nicols Pulido,Antonio Jos de Sucre,Barinas
Uverito,Jos Gregorio Monagas,Anzotegui
Antonio Rmulo Costa,Antonio Rmulo Costa,Tchira
Cabruta,Las Mercedes,Gurico
Uverito,Camagun,Gurico
Piar,Jos Gregorio Monagas,Anzotegui
Monseor Miguel Antonio Salas,Juregui,Tchira
Mucuchach,Arzobispo Chacn,Mrida
San Antonio,Aricagua,Mrida
Santa Luca,Barinas,Barinas
Marhuanta,Heres,Bolvar
Seboruco,Seboruco,Tchira
Capuri,Arzobispo Chacn,Mrida
Juregui,Juregui,Tchira
Orinoco,Heres,Bolvar
Catedral,Heres,Bolvar
Arzobispo Chacn,Arzobispo Chacn,Mrida
Juan Pablo Pealoza,Uribante,Tchira
Agua SaLada,Heres,Bolvar
Santa Catalina,Sosa,Barinas
Uribante,Uribante,Tchira
La Sabanita,Heres,Bolvar
Vista Hermosa,Heres,Bolvar
Pedro Briceo Mndez,Ezequiel Zamora,Barinas
Mesa de Quintero,Guaraque,Mrida
Moitaco,Sucre,Bolvar
Jos Mara Vargas,Jos Mara Vargas,Tchira
San Pedro del Ro,Ayacucho,Tchira
Puerto de Nutrias,Sosa,Barinas
Jos Antonio Pez,Heres,Bolvar
Pez,Pedraza,Barinas
Ayacucho,Ayacucho,Tchira
Michelena,Michelena,Tchira
Andrs Eloy BLanco,Piar,Bolvar
Guaimaral,Arzobispo Chacn,Mrida
Bruzual,Muoz,Apure
Potos,Uribante,Tchira
Sifontes,Sifontes,Bolvar
Pedro Mara Urea,Pedro Mara Urea,Tchira
San Vicente,Muoz,Apure
Salom,Roscio,Bolvar
Zea,Heres,Bolvar
Francisco de Miranda,Francisco de Miranda,Tchira
Jos Ignacio del Pumar,Ezequiel Zamora,Barinas
Ral Leoni,Ral Leoni,Bolvar
Lobatera,Lobatera,Tchira
Sucre,Sucre,Tchira
Puerto Miranda,Camagun,Gurico
Mapire,Jos Gregorio Monagas,Anzotegui
Biruaca,Biruaca,Apure
Nueva Arcadia,Pedro Mara Urea,Tchira
Apurito,Achaguas,Apure
Mucuritas,Achaguas,Apure
Andrs Bello,Andrs Bello,Tchira
Constitucin,Lobatera,Tchira
Altagracia,Cedeo,Bolvar
Eleazar Lpez Contreras,Sucre,Tchira
Achaguas,Achaguas,Apure
Cipriano Castro,Libertad,Tchira
El Recreo,San Fernando,Apure
Padre Noguera,Padre Noguera,Mrida
San Fernando,San Fernando,Apure
Mantecal,Muoz,Apure
Gusimos,Gusimos,Tchira
Romn Crdenas,Independencia,Tchira
Crdenas,Uribante,Tchira
Independencia,Independencia,Tchira
Crdenas,Crdenas,Tchira
El Palotal,Bolvar,Tchira
San Pablo,Sucre,Tchira
Ramn Ignacio Mndez,Ezequiel Zamora,Barinas
Capacho Viejo,Libertad,Tchira
Queseras del Medio,Achaguas,Apure
Quintero,Muoz,Apure
Roscio,Roscio,Bolvar
Ascensin Farreras,Cedeo,Bolvar
La Florida,Crdenas,Tchira
Pedro Cova,Piar,Bolvar
Bolvar,Bolvar,Tchira
San Joaqun de Navay,Libertador,Tchira
Libertador,Libertador,Tchira
General Juan Vicente Gmez,Bolvar,Tchira
Amenodoro Rangel Lamus,Crdenas,Tchira
San Juan Bautista,San Cristbal,Tchira
Pealver,San Fernando,Apure
Manuel Felipe Rugeles,Libertad,Tchira
Juan Germn Roscio,Independencia,Tchira
Junn,Junn,Tchira
Dr. Francisco Romero Lobo,San Cristbal,Tchira
Las Majadas,Sucre,Bolvar
Pedro Mara Morantes,San Cristbal,Tchira
Aramendo,Pez,Apure
San Sebastin,San Cristbal,Tchira
La Concordia,San Cristbal,Tchira
Isaas Medina Angarita,Bolvar,Tchira
Fernndez Feo,Fernndez Feo,Tchira
Santo Domingo,Fernndez Feo,Tchira
San Juan de Payara,Pedro Camejo,Apure
Torbes,Torbes,Tchira
Rafael Urdaneta,Rafael Urdaneta,Tchira
El Callao,El Callao,Bolvar
Crdoba,Crdoba,Tchira
Cedeo,Cedeo,Bolvar
Bramn,Junn,Tchira
Santa Brbara,Ral Leoni,Bolvar
La Patrolia,Junn,Tchira
San Rafael de Atamaica,San Fernando,Apure
Doradas,Libertador,Tchira
Guarataro,Sucre,Bolvar
Cunaviche,Pedro Camejo,Apure
Sucre,Sucre,Bolvar
El Yagual,Achaguas,Apure
Quinimari,Junn,Tchira
Puerto Vivas,Andrs Eloy BLanco,Barinas
Alberto Adriani,Fernndez Feo,Tchira
San Francisco,Ral Leoni,Bolvar
Rincn Hondo,Muoz,Apure
Guasdualito,Pez,Apure
Aripao,Sucre,Bolvar
La Trinidad,Rmulo Gallegos,Apure
Guachara,Achaguas,Apure
Dalla Costa,Sifontes,Bolvar
La Urbana,Cedeo,Bolvar
Elorza,Rmulo Gallegos,Apure
Urdaneta,Pez,Apure
El Amparo,Pez,Apure
Barceloneta,Ral Leoni,Bolvar
Guaniamo,Cedeo,Bolvar
Pijiguaos,Cedeo,Bolvar
Codazzi,Pedro Camejo,Apure
San Isidro,Sifontes,Bolvar
Gran Sabana,Gran Sabana,Bolvar
Atures,Autnomo Atures,Amazonas
Manapiare,Autnomo Manapiare,Amazonas
Autana,Autnomo Autana,Amazonas
Ikabar,Gran Sabana,Bolvar
Atabapo,Autnomo Atabapo,Amazonas
Alto Orinoco,Autnomo Alto Orinoco,Amazonas
Maroa,Autnomo Maroa,Amazonas
Ro Negro,Autnomo Ro Negro,Amazonas
Ramn Ignacio Mndez,Ezequiel Zamora,Barinas
Ignacio Briceo,Pedraza,Barinas
El Cantn,Andrs Eloy BLanco,Barinas
Emeterio Ochoa,Libertador,Tchira
Santa Cruz de Guacas,Andrs Eloy BLanco,Barinas
San Camilo,Pez,Apure
Monagas,Almirante Padilla,Zulia
IsLa de Toas,Almirante Padilla,Zulia
Zona en Reclamacin,Zona en Reclamacin,Z. Reclamacin
